slug,rent_1br_center,rent_1br_outside,utilities_apt,internet,transport_monthly,meal_inexpensive,cappuccino,bread,eggs12,gasoline
paris,1400,980,145,30,85,16,3.8,1.8,3.5,1.9
lyon,900,700,130,28,70,14,3.6,1.6,3.2,1.85
marseille,800,650,125,27,60,13,3.4,1.5,3.0,1.82
bordeaux,880,720,130,28,65,14,3.6,1.6,3.2,1.86
lille,780,600,120,27,62,12.5,3.2,1.4,2.9,1.83
nice,870,700,120,28,65,14,3.5,1.6,3.1,1.84
nantes,830,650,115,27,60,13.5,3.4,1.5,3.0,1.83
montpellier,800,620,110,26,55,13,3.3,1.4,2.9,1.82
toulouse,850,680,120,27,58,13.5,3.4,1.5,3.0,1.83
strasbourg,880,700,125,28,65,13.8,3.4,1.6,3.1,1.85
rennes,820,640,115,27,58,13.2,3.3,1.5,2.9,1.83
reims,800,620,115,26,57,13,3.3,1.5,2.9,1.83
saint-etienne,700,550,100,25,50,12,3.0,1.4,2.8,1.80
le-havre,760,590,110,26,55,12.5,3.2,1.4,2.9,1.82
grenoble,850,670,120,27,60,13.5,3.4,1.5,3.0,1.84
